sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,passed_filters,passed_filters_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_cdhitdup,reads_after_idseq_dedup,reads_after_czid_dedup,host_organism,notes,insert_size_median,insert_size_mode,insert_size_median_absolute_deviation,insert_size_min,insert_size_max,insert_size_mean,insert_size_standard_deviation,insert_size_read_pairs,sample_type,nucleotide_type,collection_location
AM_N_056,Lauren Mee,2022-09-08 05:45:40 -0700,COMPLETE,4456,54482796,101572,0.186,0,1.0,62.203,1.21,790274,787800,491570,"","",404972,Bee,"","","","","","","","","",Abdomen,RNA,United Kingdom
AM_N_068,Lauren Mee,2022-09-08 07:38:16 -0700,COMPLETE,13250,47023956,21151562,44.98,0,0.450894,96.659,4.59,22363876,22360004,21616708,"","",4705786,Bee,"","","","","","","","","",Abdomen,RNA,United Kingdom
AM_N_072,Lauren Mee,2022-09-08 07:38:16 -0700,COMPLETE,21604,58727372,33190070,56.516,0,0.322384,96.525,5.15,35063728,35059684,33845340,"","",6569188,Bee,"","","","","","","","","",Abdomen,RNA,United Kingdom
BT_N_001,Lauren Mee,2022-09-08 07:38:16 -0700,COMPLETE,25702,59387534,25375279,42.728,0,0.117703,94.304,1.46,38160286,38150650,35986838,"","",24667974,Bee,"","","","","","","","","",Abdomen,RNA,United Kingdom
BT_N_025,Lauren Mee,2022-09-08 07:38:16 -0700,COMPLETE,32200,71269776,31919036,44.786,0,0.0950659,94.02,1.45,46420812,46403406,43644628,"","",30024420,Bee,"","","","","","","","","",Abdomen,RNA,United Kingdom
BT_N_029,Lauren Mee,2022-09-08 07:38:16 -0700,COMPLETE,29964,58462570,25618725,43.821,0,0.112175,93.768,1.39,38465082,38450046,36067908,"","",25901644,Bee,"","","","","","","","","",Abdomen,RNA,United Kingdom
AM_N_068_1,Lauren Mee,2022-09-08 07:40:47 -0700,COMPLETE,16157,47023956,21151680,44.981,0,0.45209,96.659,4.59,22363876,22360004,21616708,"","",4705786,Bee,"","","","","","","","","",Abdomen,RNA,United Kingdom
AM_N_072_1,Lauren Mee,2022-09-08 07:42:47 -0700,COMPLETE,15001,58727372,33190109,56.516,0,0.319133,96.525,5.15,35063728,35059684,33845340,"","",6569188,Bee,"","","","","","","","","",Abdomen,RNA,United Kingdom
BT_N_001_1,Lauren Mee,2022-09-08 07:42:48 -0700,COMPLETE,17526,59387534,25378335,42.733,0,0.118234,94.304,1.46,38160286,38150650,35986838,"","",24667974,Bee,"","","","","","","","","",Abdomen,RNA,United Kingdom
SRR10034516,Lauren Mee,2022-09-12 09:39:15 -0700,COMPLETE,18757,99075680,1743184,1.759,0,1.0,90.415,2.92,13592416,13505108,12289596,"","",4202980,Bee,"","","","","","","","","",Midgut,RNA,China
SRR18500045,Lauren Mee,2022-09-12 09:48:45 -0700,COMPLETE,7730,55804110,3663068,6.564,0,1.0,97.49,4.35,4133362,4065070,4029592,"","",927180,Bee,"","","","","","","","","",10 Pooled Whole Bodies,RNA,New Zealand
SRR1503129,Lauren Mee,2022-09-12 09:55:46 -0700,COMPLETE,18342,17113988,7801559,45.586,0,0.320187,86.806,1.25,12948266,12948252,11239826,"","",8970662,Bee,"","","","","","","","","",Whole Body,RNA,Germany
