tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
232799,2,232799,Iflavirus,"",viruses,false,7785221826.0473,100,100,448235.6171841523,9529068,2286,9313825,99.1343,199.058,10^-100.583,,,,,100,427438.837155984,9086948,2046,8881848,98.1348,107.246,10^0.00197983,,,,,"[198112, 232800, 1074894, 1916690]"
198112,1,232799,Deformed wing virus,"",viruses,false,7785221826.0473,100,100,390985.4384530766,8311983,2104,8107013,99.0798,178.202,10^-86.9025,,,,,100,387536.7441516535,8238667,1717,8036784,98.1563,113.043,10^0.00217092,,,,,
232800,1,232799,Varroa destructor virus 1,"",viruses,false,966794380.412889,100,100,57250.13169230787,1217084,182,1206812,99.4108,304.722,10^-169.896,,,,,100,39429.30634898103,838230,321,835042,97.9576,47.1084,10^3.9856e-08,,,,,
1074894,1,232799,VDV-1/DWV recombinant 4,"",viruses,false,3211807.066686261,100,100,0.04703876781907237,1,,,99.333,150.0,10^-88.459,,,,,100,321.13366790080704,6827,4,6802,96.8872,49.8884,10^2.95194e-14,,,,,
1916690,1,232799,Iflavirus sp.,"",viruses,false,1516529.8744868932,100,,,,,,,,,,,,,100,151.65298744868932,3224,4,3220,94.0376,49.9559,10^7.02833e-10,,,,,
2767842,2,2767842,Lactiplantibacillus,"",bacteria,false,42966781.620785855,100,,,,,,,,,,,,,100,4340.078951594531,92266,5,90389,99.4235,31.2622,10^7.32812e-08,,,,,[1590]
1590,1,2767842,Lactiplantibacillus plantarum,"",bacteria,false,42966781.620785855,99,-100,0.0,0,,,0,0,10^0,0.132125,0.231594,,,99,4340.078951594531,92266,5,90389,99.4235,31.2622,10^7.32812e-08,0.0292491,0.124093,,,
286,2,286,Pseudomonas,"",bacteria,false,6793058.318328901,13.44003499594461,-0.7730033184617641,2.8693648369634146,61,1,6,98.6462,198.489,10^-102.868,370.72,475.872,,,13.44003499594461,5108.504262686897,108602,66,108458,97.8713,46.8394,10^0.000123483,276.18,359.547,,,"[1729582, 1197727, 2487355, 1387231, 46680, 2745507, 676210, 1619948, 1615673, 243924, 75612, 2067572, 47885, 380021, 2169583, 33069, 76761, 515393, 359110, 47877, 29438, 301, 317, 287, 294, 306, 303]"
1729582,1,286,Pseudomonas sp. TAA207,"",bacteria,false,6793058.318328901,99,,,,,,,,,,,,,99,5105.399704010839,108536,65,108452,97.8938,46.8086,10^6.29378e-12,0.0192397,0.0816273,,,
1197727,1,286,Pseudomonas sp. Ag1,"",bacteria,false,189.6608056963337,100,,,,,,,,,,,,,100,0.1411163034572171,3,,,95.8,48.0,10^3.72e-27,,,,,
