tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
28641,2,28641,Bombus,bumble bees,eukaryota,false,6369457210.903103,100,99,408699.3702984595,2869734,21109,2672400,98.9302,1210.64,10^-245.589,0.017132,0.0726847,,,100,341899.17040501593,2400688,12766,2272269,97.78,336.899,10^0.00702453,,,,,"[30195, 132113, 207650, 103933, 2705177, 130704, 130701, 30193, 28643, 1164557, 30192, 203812, 130707, 1164558, 395520, 217885, 30194, 207648, 309947, 103936, 65598, 395507, 85660, 130678, 130691, 421273, 309963, 309959, 309941, 130711, 130694, 99932, 85657]"
30195,1,28641,Bombus terrestris,buff-tailed bumblebee,eukaryota,false,6369457210.903103,100,99,352826.4119489674,2477415,17522,2313674,99.5634,1222.47,10^-250.906,0.017132,0.0726847,,,100,291140.5547391273,2044280,10329,1952277,98.9749,350.433,10^0.00640101,,,,,
132113,1,28641,Bombus impatiens,common eastern bumble bee,eukaryota,false,367002288.63682663,100,100,15733.251073089601,110473,1364,99091,94.4837,829.837,10^-196.607,,,,,100,21124.310301323956,148327,1057,130494,90.757,257.965,10^0.0100314,,,,,
207650,1,28641,Bombus vosnesenskii,"",eukaryota,false,237293879.2788272,100,100,8261.904368054402,58012,721,52269,95.172,1539.99,10^-230.29,,,,,100,15550.10260350886,109187,512,105130,90.3479,275.5,10^0.0092802,,,,,
103933,1,28641,Bombus bifarius,"",eukaryota,false,210672124.12969124,100,100,17202.85376173942,120792,688,114724,94.5336,1207.2,10^-223.099,,,,,100,4036.387188847098,28342,263,23915,87.4878,213.721,10^0.0210109,,,,,
2705177,1,28641,Bombus vancouverensis,"",eukaryota,false,195629468.1140231,100,100,10244.208837801165,71931,763,65713,95.1943,1303.41,10^-245.924,,,,,100,9421.180061979156,66152,594,58911,92.065,252.068,10^0.0103498,,,,,
130704,1,28641,Bombus ignitus,"",eukaryota,false,38697220.815286234,100,100,3450.1981524595935,24226,16,20699,99.4109,143.675,10^-54.755,,,,,100,454.025910593626,3188,2,814,98.2823,50.6952,10^0.000474206,,,,,
130701,1,28641,Bombus hypocrita,"",eukaryota,false,6204716.954835202,100,100,559.4146100413309,3928,5,3603,98.8942,89.5616,10^-37.2239,,,,,100,66.65123154260256,468,2,94,98.6964,41.8373,10^2.58787e-08,,,,,
30193,1,28641,Bombus lucorum,white-tailed bumblebee,eukaryota,false,3026734.9647058016,100,100,281.1314766348236,1974,2,1946,99.4823,5831.67,10^-303.377,,,,,100,24.353334602104784,171,3,145,99.2098,207.662,10^4.29134e-07,,,,,
28643,1,28641,Bombus pensylvanicus,"",eukaryota,false,1055239.9575104993,100,100,100.4040987981513,705,23,540,95.5495,386.64,10^-191.802,,,,,100,6.12393794088015,43,1,43,58.333,24.0,10^9.8e-05,,,,,
