tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
28641,2,28641,Bombus,bumble bees,eukaryota,false,4790959118.201315,100,99,355123.284753784,813716,8147,554605,98.6332,755.657,10^-166.505,0.017132,0.0726847,,,100,254026.2079933245,582066,5285,471284,96.3632,235.045,10^0.00391257,,,,,"[30195, 132113, 2705177, 207650, 103933, 130704, 130701, 1164557, 30193, 28643, 395515, 30192, 217885, 65598, 85660, 130707, 1164558, 30194, 309959, 207648, 396416, 203812, 130694, 130714, 103936, 395520, 65597, 30191, 1196864, 395534, 395505, 309964, 309941, 217217, 184053, 85659, 421272, 103935]"
30195,1,28641,Bombus terrestris,buff-tailed bumblebee,eukaryota,false,4790959118.201315,100,99,294613.85848242225,675067,7249,463129,99.4233,719.134,10^-167.605,0.017132,0.0726847,,,100,190344.8691215094,436149,4227,364013,98.3919,218.214,10^0.00369269,,,,,
132113,1,28641,Bombus impatiens,common eastern bumble bee,eukaryota,false,435210019.1938244,100,100,18924.552296843536,43363,308,28506,94.6264,856.707,10^-142.872,,,,,100,24785.695145507343,56793,479,39737,92.1833,203.909,10^0.00371966,,,,,
2705177,1,28641,Bombus vancouverensis,"",eukaryota,false,409068536.52980196,100,100,20406.640242790098,46759,199,36052,94.0209,1508.21,10^-209.255,,,,,100,20704.279812618,47441,250,38836,89.4122,478.289,10^0.00412411,,,,,
207650,1,28641,Bombus vosnesenskii,"",eukaryota,false,254939376.66767627,100,100,10568.386837173699,24216,212,14064,95.255,398.486,10^-125.537,,,,,100,15031.234697965665,34442,228,26702,88.3089,202.617,10^0.00473959,,,,,
103933,1,28641,Bombus bifarius,"",eukaryota,false,98949925.85196054,100,100,7418.731741208941,16999,164,7189,95.1172,481.194,10^-120.518,,,,,100,2550.448161399203,5844,96,1741,89.4763,64.414,10^0.0136947,,,,,
130704,1,28641,Bombus ignitus,"",eukaryota,false,30075518.40346484,100,100,2732.435992217729,6261,5,5453,99.1805,708.466,10^-214.95,,,,,100,302.44020805093214,693,1,8,97.5974,35.8642,10^1.65815e-05,,,,,
130701,1,28641,Bombus hypocrita,"",eukaryota,false,2815443.391310496,100,100,212.97376843990605,488,4,80,99.2684,148.951,10^-75.1841,,,,,100,70.70030837554258,162,2,20,88.0339,39.911,10^0.0920576,,,,,
1164557,1,28641,Bombus lantschouensis,"",eukaryota,false,1287400.2449198337,100,100,87.7207529844695,201,1,58,99.6413,193.104,10^-57.5729,,,,,100,41.89647903735857,96,,,98.0607,36.8989,10^3.49377e-06,,,,,
30193,1,28641,Bombus lucorum,white-tailed bumblebee,eukaryota,false,1101266.4083632354,100,100,72.44599500209918,166,3,46,99.7274,131.469,10^-68.9178,,,,,100,38.40510578424535,88,,,98.2726,36.2927,10^1.98246e-05,,,,,
28643,1,28641,Bombus pensylvanicus,"",eukaryota,false,1097600.4664474665,100,100,65.46324849587276,150,2,28,95.8371,129.773,10^-63.0056,,,,,100,44.95143063383263,103,1,103,58.333,24.0,10^2.08e-05,,,,,
395515,1,28641,Bombus breviceps,"",eukaryota,false,545527.0707989397,100,,,,,,,,,,,,,100,54.55270707989397,125,1,124,86.507,272.093,10^1.0678e-18,,,,,
30192,1,28641,Bombus lapidarius,"",eukaryota,false,138869.37114257808,100,100,7.855589819504731,18,,,93.2307,117.533,10^-53.8741,,,,,100,6.109903192948124,14,,,96.6615,34.7692,10^9.71518e-07,,,,,
217885,1,28641,Bombus occidentalis,"",eukaryota,false,126562.280425354,100,,,,,,,,,,,,,100,12.6562280425354,29,,,95.4654,30.2308,10^9.45496e-09,,,,,
65598,1,28641,Bombus pascuorum,"",eukaryota,false,104653.91326206857,100,100,0.8728433132783034,2,,,100.0,72.0,10^-36.6277,,,,,100,9.601276446061338,22,,,98.8778,34.9444,10^3.63224e-05,,,,,
85660,1,28641,Bombus hortorum,"",eukaryota,false,74148.03946299189,100,100,0.4364216566391517,1,,,98.649,148.0,10^-85.7201,,,,,100,6.982746506226428,16,,,97.7214,37.1429,10^1.02072e-08,,,,,
130707,1,28641,Bombus patagiatus,"",eukaryota,false,56429.320203442316,100,100,3.054951596474062,7,,,99.7778,97.2,10^-53.5202,,,,,100,2.6185299398349104,6,,,99.3167,42.3333,10^6.26667e-10,,,,,
1164558,1,28641,Bombus longipennis,"",eukaryota,false,43467.597001259506,100,100,1.745686626556607,4,,,100.0,108.667,10^-61.6178,,,,,100,2.6185299398349104,6,,,99.6167,35.3333,10^2.42762e-09,,,,,
30194,1,28641,Bombus pratorum,"",eukaryota,false,34651.87953714865,100,100,2.6185299398349104,6,,,98.148,77.0,10^-37.7484,,,,,100,0.8728433132783034,2,,,100.0,42.5,10^2.615e-16,,,,,
309959,1,28641,Bombus friseanus,"",eukaryota,false,30549.51596474062,100,,,,,,,,,,,,,100,3.054951596474062,7,,,99.02,32.8,10^8.41301e-06,,,,,
207648,1,28641,Bombus terricola,"",eukaryota,false,30549.51596474062,100,,,,,,,,,,,,,100,3.054951596474062,7,,,90.8571,41.1429,10^2.07929e-12,,,,,
396416,1,28641,Bombus pyrosoma,"",eukaryota,false,13092.649699174552,100,,,,,,,,,,,,,100,1.3092649699174552,3,,,81.85,38.0,10^2.125e-07,,,,,
203812,1,28641,Bombus morio,"",eukaryota,false,13092.649699174552,100,,,,,,,,,,,,,100,1.3092649699174552,3,,,79.7333,33.6667,10^0.000496667,,,,,
130694,1,28641,Bombus florilegus,"",eukaryota,false,13092.649699174552,100,,,,,,,,,,,,,100,1.3092649699174552,3,,,96.1333,26.0,10^3.64643e-07,,,,,
130714,1,28641,Bombus trifasciatus,"",eukaryota,false,8728.433132783035,100,,,,,,,,,,,,,100,0.8728433132783034,2,,,85.2,44.0,10^3.12e-17,,,,,
103936,1,28641,Bombus monticola,"",eukaryota,false,8728.433132783035,100,,,,,,,,,,,,,100,0.8728433132783034,2,,,100.0,32.5,10^4.557e-12,,,,,
395520,1,28641,Bombus difficillimus,"",eukaryota,false,8641.148801455203,100,100,0.8728433132783034,2,,,100.0,126.0,10^-73.4436,,,,,,,,,,,,,,,,,
65597,1,28641,Bombus humilis,"",eukaryota,false,8641.148801455203,100,100,0.8728433132783034,2,,,100.0,94.0,10^-51.608,,,,,,,,,,,,,,,,,
30191,1,28641,Bombus hypnorum,"",eukaryota,false,8641.148801455203,100,100,0.8728433132783034,2,,,98.23,113.0,10^-61.8208,,,,,,,,,,,,,,,,,
1196864,1,28641,Bombus pauloensis,"",eukaryota,false,4364.2165663915175,100,,,,,,,,,,,,,100,0.4364216566391517,1,,,91.2,34.0,10^1.26e-14,,,,,
395534,1,28641,Bombus impetuosus,"",eukaryota,false,4364.2165663915175,100,,,,,,,,,,,,,100,0.4364216566391517,1,,,100.0,31.0,10^5.73e-12,,,,,
395505,1,28641,Bombus appositus,"",eukaryota,false,4364.2165663915175,100,,,,,,,,,,,,,100,0.4364216566391517,1,,,89.5,38.0,10^2.83e-15,,,,,
309964,1,28641,Bombus ladakhensis,"",eukaryota,false,4364.2165663915175,100,,,,,,,,,,,,,100,0.4364216566391517,1,,,100.0,24.0,10^4.2e-05,,,,,
