tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
78173,2,78173,Ceratina,"",eukaryota,false,4843634414.175083,100,100,242922.61550500235,954287,4921,702913,87.3206,757.26,10^-158.806,,,,,100,242589.90652073972,952980,4940,856542,82.3023,287.882,10^0.00919363,,,,,"[156304, 175307, 78185, 710012, 2002744, 2002745, 236026, 888509, 889168, 1542641, 710037, 710040, 710001, 236021]"
156304,1,78173,Ceratina calcarata,"",eukaryota,false,4843634414.175083,100,100,242069.84190341106,950937,4918,699705,87.2915,758.083,10^-158.761,,,,,100,242293.59951409724,951816,4938,855420,82.3043,287.995,10^0.00920339,,,,,
175307,1,78173,Ceratina sp. NJB-2001,"",eukaryota,false,5348290.55803977,100,100,534.57449651992,2100,1,2086,98.9686,388.042,10^-92.2453,,,,,100,0.25455928405710476,1,,,68.8,48.0,10^2.2e-11,,,,,
78185,1,78173,Ceratina australensis,"",eukaryota,false,2627051.811469321,100,100,254.55928405710478,1000,1,902,99.3517,519.624,10^-278.467,,,,,100,8.145897089827352,32,,,70.0043,51.6522,10^3.94814e-06,,,,,
710012,1,78173,Ceratina cognata,"",eukaryota,false,2296124.742195085,100,,,,,,,,,,,,,100,229.6124742195085,902,1,902,79.798,198.0,10^0.0,,,,,
2002744,1,78173,Ceratina sp. BIOUG17827-E12,"",eukaryota,false,565121.6106067726,100,,,,,,,,,,,,,100,56.51216106067726,222,1,220,84.2388,145.327,10^3.32121e-12,,,,,
2002745,1,78173,Ceratina sp. BIOUG17829-H04,"",eukaryota,false,562576.0177662015,100,100,56.00304249256305,220,1,220,91.555,521.0,10^-307.653,,,,,100,0.25455928405710476,1,,,78.1,32.0,10^2.87e-06,,,,,
236026,1,78173,Ceratina dupla,"",eukaryota,false,33092.70692742362,100,100,3.3092706927423623,13,,,99.2946,100.462,10^-54.9637,,,,,,,,,,,,,,,,,
888509,1,78173,Ceratina cyanea,"",eukaryota,false,25455.928405710478,100,100,2.545592840571048,10,,,94.4992,124.667,10^-63.1543,,,,,,,,,,,,,,,,,
889168,1,78173,Ceratina sp. JS-2010,"",eukaryota,false,10182.37136228419,100,100,1.018237136228419,4,,,95.5065,131.25,10^-68.1076,,,,,,,,,,,,,,,,,
