tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
28641,2,28641,Bombus,bumble bees,eukaryota,false,795887413.6046798,100,99,133908.8853882145,182081,915,144070,92.6561,717.219,10^-155.756,0.017132,0.0726847,,,100,87497.73853492364,118974,611,103125,88.144,214.584,10^0.00473322,,,,,"[30195, 207650, 132113, 2705177, 103933, 130704, 28643, 130701, 65598, 130691, 30192, 30193, 130678, 130714, 2024865, 1164557, 85660, 60898, 1276025, 184053, 30202, 2044545, 395534, 207636, 30194, 309976, 309967]"
30195,1,28641,Bombus terrestris,buff-tailed bumblebee,eukaryota,false,795887413.6046798,100,99,66453.97863411922,90360,309,75752,92.1738,731.171,10^-125.322,0.017132,0.0726847,,,100,14457.196901167725,19658,227,13548,88.9095,177.908,10^0.0138264,,,,,
207650,1,28641,Bombus vosnesenskii,"",eukaryota,false,510644330.0106344,100,100,23809.733934037293,32375,163,26271,92.6525,793.332,10^-150.366,,,,,100,27492.79640636652,37383,98,35458,85.9374,279.107,10^0.00171567,,,,,
132113,1,28641,Bombus impatiens,common eastern bumble bee,eukaryota,false,370827247.6021116,100,100,11267.611848753215,15321,173,8714,94.3563,562.14,10^-163.142,,,,,100,25927.789029945474,35255,134,30625,89.1011,130.758,10^0.000982007,,,,,
2705177,1,28641,Bombus vancouverensis,"",eukaryota,false,307946089.6143227,100,100,13120.174621875685,17840,120,11891,94.6523,910.675,10^-131.51,,,,,100,17805.636085775346,24211,98,22079,88.4472,318.185,10^0.00538555,,,,,
103933,1,28641,Bombus bifarius,"",eukaryota,false,201691943.5950161,100,100,18693.30709298409,25418,145,20907,91.3699,561.589,10^-248.559,,,,,100,1662.8203374473612,2261,47,1300,88.968,132.446,10^0.0128173,,,,,
130704,1,28641,Bombus ignitus,"",eukaryota,false,4461741.894394361,100,100,391.25184410526145,532,2,503,94.3563,571.43,10^-278.239,,,,,100,58.834863775227284,80,3,58,97.1574,54.039,10^9.06507e-09,,,,,
28643,1,28641,Bombus pensylvanicus,"",eukaryota,false,589745.9657669344,100,100,59.570299572417625,81,,,97.0209,116.718,10^-62.6113,,,,,,,,,,,,,,,,,
130701,1,28641,Bombus hypocrita,"",eukaryota,false,527013.2922665984,100,100,25.004817104471595,34,1,12,97.8122,169.219,10^-86.9539,,,,,100,27.94656029323296,38,2,35,98.8987,81.7105,10^5.20576e-07,,,,,
65598,1,28641,Bombus pascuorum,"",eukaryota,false,371615.7083202794,100,100,34.56548246794603,47,,,97.6399,111.405,10^-58.3614,,,,,100,2.9417431887613645,4,,,99.275,32.0,10^3.56002e-08,,,,,
130691,1,28641,Bombus diversus,"",eukaryota,false,226514.22553462506,100,100,14.708715943806821,20,1,10,93.7151,198.211,10^-83.0774,,,,,100,8.089793769093752,11,,,89.41,36.9,10^3.14027e-07,,,,,
30192,1,28641,Bombus lapidarius,"",eukaryota,false,220336.56483822622,100,100,2.9417431887613645,4,,,97.188,99.25,10^-50.7512,,,,,100,19.12133072694887,26,,,95.1652,32.0435,10^5.27398e-05,,,,,
30193,1,28641,Bombus lucorum,white-tailed bumblebee,eukaryota,false,204745.32593779097,100,100,11.766972755045458,16,,,96.6666,121.625,10^-65.0535,,,,,100,8.825229566284094,12,,,94.2636,37.7273,10^2.68315e-10,,,,,
130678,1,28641,Bombus ardens,"",eukaryota,false,88252.29566284093,100,,,,,,,,,,,,,100,8.825229566284094,12,1,12,92.0,75.0,10^0.0,,,,,
130714,1,28641,Bombus trifasciatus,"",eukaryota,false,73543.57971903411,100,,,,,,,,,,,,,100,7.3543579719034105,10,1,10,100.0,86.0,10^0.0,,,,,
2024865,1,28641,Bombus opulentus,"",eukaryota,false,72808.14392184376,100,100,7.3543579719034105,10,1,10,100.0,261.0,10^-21.7599,,,,,,,,,,,,,,,,,
