tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
28641,2,28641,Bombus,bumble bees,eukaryota,false,391758118.8518348,100,99,77438.43872293593,529055,26216,471157,91.4404,359.644,10^-124.052,0.017132,0.0726847,,,100,49752.6105811248,339907,16954,323987,72.5849,139.341,10^0.0862943,,,,,"[30195, 132113, 2705177, 103933, 207650, 28643, 130704, 130678, 1164557, 395577, 207639, 30193, 30192, 203812, 130701, 130691, 30194, 1196864, 65598, 207645, 395534, 103936, 184053, 28642, 30191, 309959, 130705, 395562, 309965, 309963, 130714, 103937, 30200, 30198, 1276025, 207636, 207634, 207624, 203815, 30202]"
30195,1,28641,Bombus terrestris,buff-tailed bumblebee,eukaryota,false,391758118.8518348,100,99,25957.6228588033,177341,8803,158448,91.0446,358.068,10^-125.79,0.017132,0.0726847,,,100,13734.745721270365,93835,5746,88861,74.7933,110.393,10^0.106937,,,,,
132113,1,28641,Bombus impatiens,common eastern bumble bee,eukaryota,false,303477736.49573797,100,100,19419.65848376218,132674,6258,118363,90.9216,382.276,10^-125.515,,,,,100,11122.311750649238,75987,4136,72102,73.4549,103.164,10^0.0938279,,,,,
2705177,1,28641,Bombus vancouverensis,"",eukaryota,false,195415388.9157576,100,100,9577.363265670192,65432,3635,58313,92.3909,361.948,10^-124.096,,,,,100,10059.949258562272,68729,2961,65838,73.1996,184.669,10^0.0698377,,,,,
103933,1,28641,Bombus bifarius,"",eukaryota,false,178065127.08577412,100,100,11152.317855757783,76192,3557,69563,91.7403,350.697,10^-129.064,,,,,100,6765.718031377205,46223,1650,44698,68.4947,174.816,10^0.0536821,,,,,
207650,1,28641,Bombus vosnesenskii,"",eukaryota,false,177536712.25625038,100,100,9864.397276001211,67393,3564,60640,92.2923,338.194,10^-113.463,,,,,100,7987.91792238384,54573,2429,51966,70.2177,153.792,10^0.0882448,,,,,
28643,1,28641,Bombus pensylvanicus,"",eukaryota,false,7335219.269212967,100,100,740.9312393144411,5062,346,4569,91.9067,335.154,10^-130.881,,,,,,,,,,,,,,,,,
130704,1,28641,Bombus ignitus,"",eukaryota,false,4363560.990506992,100,100,407.49754449849945,2784,17,251,87.5297,154.395,10^-57.5008,,,,,100,32.93352999718476,225,11,219,62.0666,65.08,10^0.053716,,,,,
130678,1,28641,Bombus ardens,"",eukaryota,false,1602677.303782999,100,100,161.88659634171708,1106,3,59,92.6228,72.544,10^-23.0106,,,,,,,,,,,,,,,,,
1164557,1,28641,Bombus lantschouensis,"",eukaryota,false,445114.954317506,100,100,42.447660885260355,290,4,281,86.273,1079.49,10^-299.561,,,,,100,2.4883111553428487,17,2,16,36.1654,66.8235,10^0.83059,,,,,
395577,1,28641,Bombus waltoni,"",eukaryota,false,322221.65749245574,100,100,27.2250514643394,186,5,157,95.4791,135.391,10^-55.2256,,,,,100,5.269364799549562,36,2,32,65.2783,56.1944,10^0.0533336,,,,,
207639,1,28641,Bombus mendax,"",eukaryota,false,313000.2690932439,100,100,31.61618879729737,216,4,210,99.6503,588.194,10^-272.734,,,,,,,,,,,,,,,,,
