tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
561,2,561,Escherichia,"",bacteria,false,4566276567.116709,99,99,270320.53509077936,5510603,114,5335572,99.949,1035.91,10^-261.257,105.107,105.887,,,99,195584.88977193332,3987084,83,3822392,99.1441,98.5759,10^0.000137514,240.091,292.975,,,"[562, 237777, 564, 1884818, 675974, 2044467, 2044459, 2003206, 208962, 1499973, 1985876]"
562,1,561,Escherichia coli,"",bacteria,false,4566276567.116709,99,99,270314.7957002616,5510486,114,5335572,99.949,1036.03,10^-261.284,104.968,105.881,,,99,195584.25206187577,3987071,83,3822392,99.1443,98.5766,10^0.000137516,239.814,292.693,,,
237777,1,561,uncultured Escherichia sp.,"",bacteria,false,20882.5516532664,100,100,2.109348651845091,43,,,99.7765,99.6129,10^-55.1253,,,,,,,,,,,,,,,,,
564,1,561,Escherichia fergusonii,"",bacteria,false,8494.832853094498,100,43.03336248634363,1.7659663131726342,36,,,99.3139,100.071,10^-54.7669,0.00961987,0.0408136,,,100,0.09810923962070191,2,,,75.0,32.0,10^3.08e-06,,,,,
1884818,1,561,Escherichia sp.,"",bacteria,false,4370.766625102269,100,100,0.44149157829315855,9,,,99.3884,101.375,10^-55.778,,,,,,,,,,,,,,,,,
675974,1,561,Escherichia sp. enrichment culture clone Jdgsrb055,"",bacteria,false,1942.5629444898977,100,100,0.19621847924140381,4,,,100.0,76.0,10^-39.3489,,,,,,,,,,,,,,,,,
2044467,1,561,Escherichia sp. E4742,"",bacteria,false,485.64073612247444,100,100,0.049054619810350954,1,,,100.0,97.0,10^-53.6529,,,,,-100,0.0,0,,,0,0,10^0,0.0342639,0.145369,,,
2044459,1,561,Escherichia sp. E2661,"",bacteria,false,485.64073612247444,100,,,,,,,,,,,,,100,0.049054619810350954,1,,,74.2,31.0,10^8.13e-08,,,,,
2003206,1,561,Escherichia sp. NCCP-1731,"",bacteria,false,485.64073612247444,100,100,0.049054619810350954,1,,,100.0,75.0,10^-38.6685,,,,,,,,,,,,,,,,,
208962,1,561,Escherichia albertii,"",bacteria,false,370.12835217651565,3.8107218427736305,3.8107218427736305,0.981092396207019,20,,,99.4065,99.6,10^-54.6025,0.0843419,0.235323,,,-100,0.0,0,,,0,0,10^0,0.0140413,0.059572,,,
1499973,1,561,Escherichia marmotae,"",bacteria,false,56.400954270416925,1.998562544879254,0.5403023545875822,0.14716385943105287,3,,,100.0,98.6667,10^-54.7894,0.0446993,0.189643,,,1.998562544879254,0.24527309905175476,5,,,100.0,20.0,10^3.72e-07,0.0258749,0.109778,,,
1985876,1,561,Escherichia sp. ESNIH1,"",bacteria,false,18.85360197931308,0.776442360657256,,,,,,,,,,,,,0.776442360657256,0.24527309905175476,5,,,96.0,25.0,10^9.98e-10,0.0688817,0.227179,,,
1921556,2,1921556,Sinaivirus,"",viruses,false,742271941.8451179,100,100,47177.98627488616,961744,39,953191,96.1777,1493.94,10^-234.165,,,,,100,47154.78343971587,961271,39,953191,98.6433,461.164,10^3.3718e-08,,,,,"[1547219, 1041806, 1182206, 1041831, 1393222, 1983563, 1658522, 1983564]"
1547219,1,1921556,Lake Sinai virus,"",viruses,false,742271941.8451179,100,100,35036.13394328753,714227,36,706852,96.3587,1734.07,10^-275.022,,,,,100,39191.06024122426,798927,35,792204,98.4868,385.378,10^3.6422e-08,,,,,
1041806,1,1921556,Lake Sinai virus 1,"",viruses,false,152966039.86222118,100,100,7600.081301837484,154931,1,154206,98.625,73.0489,10^-24.9582,,,,,100,7696.522684384633,156897,3,155985,99.3977,832.688,10^1.66273e-08,,,,,
1182206,1,1921556,Lake Sinai virus 3,"",viruses,false,48048019.01184255,100,100,4540.299391166843,92556,2,92133,90.6706,2178.36,10^-294.872,,,,,100,264.50251001741236,5392,1,5002,98.2267,54.0753,10^2.07394e-09,,,,,
1041831,1,1921556,Lake Sinai virus 2,"",viruses,false,27470.587093796534,100,100,1.3244747348794756,27,,,96.8111,86.1111,10^-42.1242,,,,,100,1.4225839745001776,29,,,96.3364,28.7273,10^3.5091e-06,,,,,
1393222,1,1921556,Lake Sinai virus 5 JR-2013,"",viruses,false,9320.37776396668,100,100,0.14716385943105287,3,,,100.0,62.0,10^-29.8308,,,,,100,0.7848739169656153,16,,,100.0,22.0,10^1.49e-05,,,,,
1983563,1,1921556,Lake Sinai Virus SA2,"",viruses,false,1962.1847924140382,100,,,,,,,,,,,,,100,0.19621847924140381,4,,,93.65,29.75,10^3.64158e-05,,,,,
