tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
232799,2,232799,Iflavirus,"",viruses,false,7487630554.345052,100,100,448633.2559526175,9512290,2318,9272392,99.2212,347.339,10^-156.619,,,,,100,430073.6960867814,9118775,2063,8894918,98.6182,110.925,10^0.00173885,,,,,"[198112, 232800, 1074894, 1916690]"
198112,1,232799,Deformed wing virus,"",viruses,false,7487630554.345052,100,100,392565.52432574995,8323496,2167,8092334,99.2388,261.318,10^-142.065,,,,,100,356197.5311087552,7552392,1733,7331620,98.817,111.582,10^0.00211963,,,,,
232800,1,232799,Varroa destructor virus 1,"",viruses,false,1260050336.8430548,100,100,56067.73162686756,1188794,151,1180058,99.1256,813.33,10^-235.461,,,,,100,69937.3020574379,1482868,327,1479806,97.4283,97.8212,10^9.32707e-09,,,,,
1074894,1,232799,VDV-1/DWV recombinant 4,"",viruses,false,39385327.758185655,100,,,,,,,,,,,,,100,3938.532775818566,83508,2,83487,99.9921,189.79,10^1.11592e-13,,,,,
1916690,1,232799,Iflavirus sp.,"",viruses,false,3301.447697314025,100,,,,,,,,,,,,,100,0.3301447697314025,7,1,5,94.2143,28.5714,10^1.53254e-12,,,,,
338,2,338,Xanthomonas,"",bacteria,false,85494494.87252723,99,-100,0.0,0,,,0,0,10^0,27.5074,31.3893,,,99,13282.101394602587,281618,66,281589,98.2793,50.4454,10^3.65902e-17,45.2672,44.7993,,,"[347, 56454]"
347,1,338,Xanthomonas oryzae,"",bacteria,false,85494494.87252723,99,-100,0.0,0,,,0,0,10^0,2.22736,2.70847,,,99,8723.037942304583,184953,43,184948,98.4175,50.4769,10^1.31516e-19,30.8471,30.3482,,,
56454,1,338,Xanthomonas hortorum,"",bacteria,false,44683380.895972736,99,-100,0.0,0,,,0,0,10^0,0.103854,0.296769,,,99,4559.0634522980035,96665,23,96641,98.0113,50.3841,10^1.07292e-16,0.224726,0.476862,,,
7459,2,7459,Apis,"",eukaryota,false,4939562.987070225,100,99,644.2067728230323,13659,73,8915,96.5905,912.273,10^-198.885,0.231781,0.860929,,,100,478.0024630325378,10135,64,7573,94.2091,285.43,10^0.0332482,,,,,"[7461, 7460, 7462, 7463, 183418, 7464]"
7461,1,7459,Apis cerana,Asiatic honeybee,eukaryota,false,4939562.987070225,100,99,248.22170329948162,5263,32,4785,96.3431,1254.16,10^-247.124,0.135021,0.572846,,,100,250.6742073032006,5315,27,4643,94.0248,246.397,10^0.0456085,,,,,
