tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
28641,2,28641,Bombus,bumble bees,eukaryota,false,6955042319.775815,100,99,429543.35459027305,2910296,18761,2785464,99.0007,1341.53,10^-251.459,0.017132,0.0726847,,,100,371136.2705404221,2514569,11458,2447442,98.0754,391.753,10^0.00377001,,,,,"[30195, 132113, 2705177, 207650, 103933, 130704, 130701, 30193, 28643, 1164557, 207648, 30192, 130678, 1164558, 130714, 130707, 65598, 309941, 309947, 2044545, 1196864, 396416, 309963, 203812, 130705, 130686, 103936, 85666, 30194, 421270, 395520, 130711, 130687]"
30195,1,28641,Bombus terrestris,buff-tailed bumblebee,eukaryota,false,6955042319.775815,100,99,380775.06958865374,2579875,15728,2479824,99.5567,1382.43,10^-257.098,0.017132,0.0726847,,,100,322306.58627374197,2183732,9352,2136951,99.0001,399.938,10^0.00175091,,,,,
132113,1,28641,Bombus impatiens,common eastern bumble bee,eukaryota,false,380142671.91796565,100,100,12353.207422592783,83697,1117,74660,95.1775,869.961,10^-191.6,,,,,100,25784.59184342971,174699,891,167395,92.3376,268.539,10^0.00750452,,,,,
2705177,1,28641,Bombus vancouverensis,"",eukaryota,false,210532028.52380687,100,100,10902.797379917187,73870,705,68992,95.0615,1131.28,10^-230.282,,,,,100,10259.433446262672,69511,550,63209,91.0106,300.333,10^0.012239,,,,,
207650,1,28641,Bombus vosnesenskii,"",eukaryota,false,177096453.5979295,100,100,10101.212263221232,68439,581,62889,94.8857,1311.49,10^-262.851,,,,,100,7709.445219203931,52234,413,48328,92.1743,325.244,10^0.0473425,,,,,
103933,1,28641,Bombus bifarius,"",eukaryota,false,141146431.17342284,100,100,9338.296875962644,63270,595,58760,94.4515,1319.87,10^-241.032,,,,,100,4869.729210139268,32994,245,30780,89.1515,672.372,10^0.0195469,,,,,
130704,1,28641,Bombus ignitus,"",eukaryota,false,33238669.253959853,100,100,3331.500507100186,22572,10,22300,98.5086,108.907,10^-32.2642,,,,,100,25.68142336680101,174,1,23,96.5527,33.8836,10^9.09437e-06,,,,,
130701,1,28641,Bombus hypocrita,"",eukaryota,false,24242053.384285398,100,100,2394.276148599115,16222,3,15975,99.3997,86.1831,10^-34.3072,,,,,100,53.87195131541591,365,,,99.0863,38.4191,10^1.65339e-05,,,,,
30193,1,28641,Bombus lucorum,white-tailed bumblebee,eukaryota,false,2545383.2821791773,100,100,242.34998372578883,1642,1,1620,99.5429,3653.97,10^-304.106,,,,,100,14.61184432938678,99,2,72,97.6468,195.096,10^2.1197e-06,,,,,
28643,1,28641,Bombus pensylvanicus,"",eukaryota,false,1521019.1974955811,100,100,80.58653539237558,546,20,440,96.0875,319.779,10^-159.501,,,,,100,72.32124971110629,490,1,490,58.333,24.0,10^0.000128,,,,,
1164557,1,28641,Bombus lantschouensis,"",eukaryota,false,496846.9855153002,100,100,20.220431041676658,137,1,4,98.8748,126.686,10^-70.8117,,,,,100,29.666471820270132,201,1,156,98.6181,308.609,10^5.48796e-07,,,,,
207648,1,28641,Bombus terricola,"",eukaryota,false,48706.147764622605,100,,,,,,,,,,,,,100,4.8706147764622605,33,1,33,84.746,118.0,10^6.53e-35,,,,,
30192,1,28641,Bombus lapidarius,"",eukaryota,false,16161.585394624773,100,100,0.7379719358276152,5,,,98.2144,138.8,10^-78.8907,,,,,100,0.8855663229931382,6,1,5,98.5667,72.5,10^5.08333e-14,,,,,
130678,1,28641,Bombus ardens,"",eukaryota,false,13209.697651314313,100,100,0.7379719358276152,5,,,97.6018,190.5,10^-95.4346,,,,,100,0.5903775486620921,4,,,99.5,49.5,10^4.06525e-26,,,,,
