tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
232799,2,232799,Iflavirus,"",viruses,false,8969737677.656094,100,100,563837.7364234432,10567358,2610,10362075,99.2008,467.981,10^-171.067,,,,,100,536619.6546104567,10057241,2320,9885753,98.7786,158.537,10^0.000811564,,,,,"[198112, 232800, 1916690, 1074894]"
198112,1,232799,Deformed wing virus,"",viruses,false,8969737677.656094,100,100,423048.2162422966,7928703,2403,7741420,99.1233,340.225,10^-140.188,,,,,100,473925.55152331275,8882238,1930,8716148,98.822,168.088,10^0.000914044,,,,,
232800,1,232799,Varroa destructor virus 1,"",viruses,false,2034749795.0763614,100,100,140789.41346805205,2638653,207,2620655,99.4265,839.68,10^-260.906,,,,,100,62685.56603958409,1174843,384,1169478,98.4378,82.9239,10^1.73882e-08,,,,,
1916690,1,232799,Iflavirus sp.,"",viruses,false,67762.81500615129,100,,,,,,,,,,,,,100,6.776281500615129,127,5,121,92.8037,49.3333,10^9.62366e-06,,,,,
1074894,1,232799,VDV-1/DWV recombinant 4,"",viruses,false,18674.79153712831,100,100,0.10671309449787604,2,,,100.0,101.0,10^-56.3822,,,,,100,1.7607660592149548,33,1,6,91.6334,38.9286,10^2.00646e-12,,,,,
338,2,338,Xanthomonas,"",bacteria,false,66221890.300320916,99,-100,0.0,0,,,0,0,10^0,27.5074,31.3893,,,99,11403.788130421026,213728,76,213665,96.9543,53.5198,10^1.89926e-08,45.2672,44.7993,,,"[56454, 347, 346, 56459]"
56454,1,338,Xanthomonas hortorum,"",bacteria,false,66221890.300320916,99,-100,0.0,0,,,0,0,10^0,0.103854,0.296769,,,99,6756.646291227519,126632,51,126574,98.0417,50.4629,10^3.10735e-08,0.224726,0.476862,,,
347,1,338,Xanthomonas oryzae,"",bacteria,false,44733453.772978015,99,-100,0.0,0,,,0,0,10^0,2.22736,2.70847,,,99,4564.172408221408,85541,23,85539,98.3053,50.3702,10^1.14322e-15,30.8471,30.3482,,,
346,1,338,Xanthomonas citri,"",bacteria,false,90864.41943801874,11.06929416198673,-100,0.0,0,,,0,0,10^0,5.59968,9.18032,,,11.06929416198673,82.91607442484968,1554,2,1552,59.06,152.383,10^1.03322e-14,3.58034,7.16719,,,
56459,1,338,Xanthomonas vasicola,"",bacteria,false,-0.45179904044838776,-0.08553077188267028,-100,0.0,0,,,0,0,10^0,0.268263,0.623794,,,-0.08553077188267028,0.05335654724893802,1,,,98.0,49.0,10^1.58e-24,0.0748512,0.251309,,,
