tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
28641,2,28641,Bombus,bumble bees,eukaryota,false,1087905358.3589234,100,99,117665.29545384564,903131,17116,663657,93.4868,344.429,10^-120.22,0.017132,0.0726847,,,100,50870.15572486608,390450,12392,323961,72.5126,178.18,10^0.0714815,,,,,"[30195, 2705177, 132113, 103933, 207650, 130704, 28643, 1164557, 30193, 130701, 30192, 30194, 207645, 203812, 1578844, 395507, 1196864, 130711, 130694, 395520, 30198, 1164558, 103936, 421270, 130691, 103937, 130714, 85660, 130678, 309947, 218871, 203811, 30197, 395534, 130707, 130705, 130686, 65597, 60898, 309964, 309958, 395542, 395515, 309975, 309970, 309944, 309942, 167068, 130715, 99932, 85665, 85662, 30201, 30200]"
30195,1,28641,Bombus terrestris,buff-tailed bumblebee,eukaryota,false,1087905358.3589234,100,99,91668.55478867244,703595,11560,551079,93.5747,360.774,10^-126.011,0.017132,0.0726847,,,100,18946.185287514472,145420,6237,111694,79.134,184.855,10^0.0821983,,,,,
2705177,1,28641,Bombus vancouverensis,"",eukaryota,false,178395662.51552904,100,100,5560.21420379078,42677,1001,26561,92.9353,283.101,10^-113.384,,,,,100,12334.95418980003,94676,1508,86203,68.8528,311.481,10^0.0347636,,,,,
132113,1,28641,Bombus impatiens,common eastern bumble bee,eukaryota,false,157561672.6553251,100,100,10250.118149566179,78674,2516,41591,92.7863,214.343,10^-85.5559,,,,,100,5608.550297461993,43048,2144,31359,69.665,55.4975,10^0.11163,,,,,
103933,1,28641,Bombus bifarius,"",eukaryota,false,120916607.81175363,100,100,5151.246554103612,39538,878,24777,92.1397,291.375,10^-98.2985,,,,,100,6991.926692612788,53666,1040,48629,66.3614,77.5714,10^0.059446,,,,,
207650,1,28641,Bombus vosnesenskii,"",eukaryota,false,106595821.88786735,100,100,3754.711276309171,28819,905,13103,94.5101,230.844,10^-91.0683,,,,,100,6942.418025240656,53286,1436,45863,69.527,122.564,10^0.087434,,,,,
130704,1,28641,Bombus ignitus,"",eukaryota,false,6437312.360674814,100,100,626.545214191013,4809,25,4558,99.6894,1869.96,10^-288.336,,,,,100,23.451474018378526,180,13,107,83.8725,68.745,10^0.0952358,,,,,
28643,1,28641,Bombus pensylvanicus,"",eukaryota,false,5573360.057837749,100,100,562.9656624078534,4321,204,1701,95.5187,166.165,10^-77.9743,,,,,,,,,,,,,,,,,
1164557,1,28641,Bombus lantschouensis,"",eukaryota,false,446672.4084700497,100,100,41.17036549893119,316,11,142,92.314,187.036,10^-72.9251,,,,,100,3.9085790030630876,30,2,16,58.3643,42.5263,10^0.290526,,,,,
30193,1,28641,Bombus lucorum,white-tailed bumblebee,eukaryota,false,212131.61109291064,100,100,15.373744078714811,118,4,41,98.5886,140.841,10^-69.7593,,,,,100,5.993154471363401,46,2,19,93.1338,70.625,10^1.13125e-07,,,,,
