tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
124287,2,124287,Osmia,"",eukaryota,false,9483023698.43793,100,100,578898.3088296282,2481552,21294,2321001,99.4666,1151.4,10^-259.344,,,,,99,474834.56614392536,2035464,14080,1979675,99.2147,337.208,10^0.00223775,0.00961987,0.0408136,,,"[1437190, 473952, 124289, 185587, 586936, 333843, 549098, 124293, 124290]"
1437190,1,124287,Osmia bicornis,red mason bee,eukaryota,false,9483023698.43793,100,100,510719.6771755072,2189292,19003,2066849,99.7054,1162.93,10^-263.393,,,,,99,446467.39380500535,1913863,12432,1876355,99.3977,346.528,10^0.00159245,0.00961987,0.0408136,,,
473952,1,124287,Osmia lignaria,orchard mason bee,eukaryota,false,961484802.2162749,100,100,68152.97077174924,292150,2291,254152,97.4978,1056.84,10^-226.069,,,,,100,28278.292373614386,121220,1645,103043,96.7957,214.465,10^0.0107355,,,,,
124289,1,124287,Osmia cornifrons,"",eukaryota,false,1062197.2336642335,100,100,21.461828892695294,92,,,98.8155,89.0241,10^-46.7761,,,,,100,85.61403482194753,367,2,269,96.8501,25.5633,10^0.0257709,,,,,
185587,1,124287,Osmia cornuta,"",eukaryota,false,23258.090658714355,100,100,1.6329652418355114,7,,,98.7599,58.8571,10^-26.722,,,,,100,0.6998422465009334,3,,,100.0,22.3333,10^4.19833e-07,,,,,
586936,1,124287,Osmia proxima,"",eukaryota,false,18475.835307624646,100,,,,,,,,,,,,,100,1.866245990669156,8,1,8,96.0,25.0,10^1.21e-06,,,,,
333843,1,124287,Osmia environmental sample,"",eukaryota,false,13996.844930018668,100,100,1.3996844930018668,6,,,98.35,71.8333,10^-34.2442,,,,,,,,,,,,,,,,,
549098,1,124287,Osmia coloradensis,"",eukaryota,false,6998.422465009334,100,100,0.6998422465009334,3,,,95.458,51.6667,10^-19.6174,,,,,,,,,,,,,,,,,
124293,1,124287,Osmia pedicornis,"",eukaryota,false,6975.094390125971,100,100,0.466561497667289,2,,,99.005,100.5,10^-54.6668,,,,,100,0.2332807488336445,1,,,93.5,31.0,10^2.6e-10,,,,,
124290,1,124287,Osmia excavata,"",eukaryota,false,4618.958826906161,100,,,,,,,,,,,,,100,0.466561497667289,2,,,90.8,32.0,10^6.30095e-07,,,,,
3511,2,3511,Quercus,"",eukaryota,false,146312449.280493,99,99,10167.774718663228,43586,968,22027,98.5789,450.634,10^-146.692,4.00204,4.79469,,,99,7870.192623400664,33737,910,22763,94.237,162.917,10^0.0324046,0.284605,0.465642,,,"[97700, 58331, 38942, 3513, 103485, 38865, 3512, 103489, 1495044, 58334, 168161, 103481]"
97700,1,3511,Quercus lobata,"",eukaryota,false,146312449.280493,100,100,8516.380297669859,36507,844,20025,98.7106,501.233,10^-157.909,,,,,100,6262.65498318802,26846,724,19270,94.9685,186.566,10^0.0284064,,,,,
58331,1,3511,Quercus suber,"",eukaryota,false,30959934.13019248,99,99,1566.4802284179227,6715,111,1819,97.9169,182.77,10^-87.4705,3.93106,4.79828,,,99,1592.3743915384573,6826,184,3440,91.2692,68.6218,10^0.0488084,0.284605,0.465642,,,
38942,1,3511,Quercus robur,"",eukaryota,false,690580.5342107401,100,99,69.51766315242605,298,12,155,97.595,318.1,10^-114.415,0.0192397,0.0816273,,,100,0.933122995334578,4,,,100.0,31.0,10^1.1454e-10,,,,,
3513,1,3511,Quercus alba,white oak,eukaryota,false,187067.83248969953,100,100,6.531860967342046,28,1,28,95.904,293.0,10^-130.527,,,,,100,12.363879688183157,53,2,53,95.8766,79.4286,10^1.12286e-34,,,,,
103485,1,3511,Quercus mongolica,"",eukaryota,false,43880.10885560853,100,100,3.4992112325046674,15,,,99.598,95.7333,10^-52.2428,,,,,100,0.933122995334578,4,,,100.0,26.75,10^0.0004105,,,,,
38865,1,3511,Quercus petraea,sessile oak,eukaryota,false,13856.876480718483,100,100,1.1664037441682225,5,,,98.9144,88.4,10^-46.4256,,,,,100,0.2332807488336445,1,,,100.0,33.0,10^1.22e-14,,,,,
3512,1,3511,Quercus rubra,northern red oak,eukaryota,false,13856.876480718482,100,100,1.3996844930018668,6,,,100.0,94.2,10^-51.7481,,,,,,,,,,,,,,,,,
103489,1,3511,Quercus glauca,"",eukaryota,false,11547.397067265403,100,100,1.1664037441682225,5,,,95.2108,94.2,10^-45.9816,,,,,,,,,,,,,,,,,
1495044,1,3511,Quercus aquifolioides,"",eukaryota,false,6928.438240359243,100,100,0.2332807488336445,1,,,100.0,100.0,10^-55.6982,,,,,100,0.466561497667289,2,,,100.0,29.5,10^1.74e-09,,,,,
58334,1,3511,Quercus ilex,"",eukaryota,false,6928.438240359243,100,100,0.466561497667289,2,,,100.0,101.0,10^-56.3801,,,,,100,0.2332807488336445,1,,,100.0,33.0,10^1.71e-15,,,,,
