Old_name	New_name
Orbus sp. IPMB12	Zophobihabitans entericus
Corynebacterium sp. 1959	Corynebacterium kalinowskii
[Polyangium] brachysporum	Schlegelella brevitalea
Flaviflexus sp. H23T48	Flaviflexus ciconiae
Sphingosinithalassobacter sp. zrk23	Sphingosinithalassobacter tenebrarum
Aspergillus pseudonomius	Aspergillus pseudonomiae
Lactobacillus murinus	Ligilactobacillus murinus
Lactobacillus hordei	Liquorilactobacillus hordei
Saccharomycetaceae sp. 'Ashbya aceri'	[Ashbya] aceris (nom. inval.)
Byssochlamys	Paecilomyces
Byssochlamys spectabilis	Paecilomyces variotii
Arthrobotrys oligospora	Orbilia oligospora
Lactobacillus rennini	Loigolactobacillus rennini
Lactobacillus backii	Loigolactobacillus backii
Lactobacillus gastricus	Limosilactobacillus gastricus
Lactobacillus mucosae	Limosilactobacillus mucosae
Swingsia sp. F3b2	Formicincola oecophyllae
Chryseobacterium haifense	Kaistella haifensis
Rhizopus oryzae	Rhizopus arrhizus
Sneathia amnii	Sneathia vaginalis
Lactobacillus bombintestini	Apilactobacillus bombintestini
Lactobacillus acidipiscis	Ligilactobacillus acidipiscis
Lactobacillus paracollinoides	Secundilactobacillus paracollinoides
Agrobacterium genomosp. 3	Agrobacterium tomkonis
Serpentinomonas	Serpentinimonas
Serpentinomonas raichei	Serpentinimonas raichei
Rheinheimera sp. LHK132	Rheinheimera mangrovi
Ruminococcaceae	Oscillospiraceae
Gemmatirosa kalamazoonesis	Gemmatirosa kalamazoonensis
Propionibacterium sp. oral taxon 193	Cutibacterium modestum
Streptococcus sp. I-P16	Streptococcus ilei
Melampsora larici-populina	Melampsora laricis-populina
Rhodobacter sphaeroides	Cereibacter sphaeroides
Acidovorax ebreus	[Acidovorax] ebreus
Rhodococcus sp. PBTS 2	Rhodococcus fascians
Corynebacterium sp. Marseille-Q3630	Corynebacterium incognita
Ochrobactrum pseudogrignonense	Brucella pseudogrignonensis
Pseudonocardia sp. CGMCC 4.1532	Pseudonocardia petroleophila
Rubrobacter sp. SCSIO 52909	Rubrobacter tropicus
Pseudopropionibacterium propionicum	Arachnia propionica
Tannerella sp. oral taxon HOT-286	Tannerella serpentiformis
Diaphorobacter polyhydroxybutyrativorans	Diaphorobacter nitroreducens
Oligotropha	Afipia
Oligotropha carboxidovorans	Afipia carboxidovorans
Pseudomonas balearica	Stutzerimonas balearica
Deinococcus soli Cha et al. 2016	Deinococcus soli (ex Cha et al. 2016)
Anthracocystis flocculosa	Pseudozyma flocculosa
Mycoplasma bovis	Mycoplasmopsis bovis
Mycoplasma hyorhinis	Mesomycoplasma hyorhinis
Chaetomium thermophilum	Thermochaetoides thermophila
Natronomonas sp. C90	Natronomonas halophila
Methylobacterium sp. 17Sr1-43	Methylobacterium radiodurans
Lactobacillus pontis	Limosilactobacillus pontis
Sphingomonas sp. MK52	Rhizorhabdus phycosphaerae
Sphingomonas wittichii	Rhizorhabdus wittichii
Sphingomonas sp. Cra20	Sphingomonas psychrotolerans
Hydrogenophaga sp. BA0156	Hydrogenophaga crocea
Sphingobium barthaii	Sphingobium fuliginis
Sphingobium japonicum	Sphingobium indicum
Muricauda sp. 501str8	Muricauda oceani
Marinobacter hydrocarbonoclasticus	Marinobacter nauticus
Flagellimonas maritima	Muricauda aurantiaca
Cryomorphaceae bacterium A20-9	Croceimicrobium hydrocarbonivorans
Novosphingobium tardaugens	Caenibius tardaugens
Altererythrobacter atlanticus	Croceibacterium atlanticum
Sphingobium hydrophobicum	Sphingobium xenophagum
Crithidia sp. ATCC 30255	Angomonas deanei
Sandaracinobacter sp. M6	Sandaracinobacteroides saxicola
Novosphingopyxis sp. PB63	Novosphingopyxis iocasae
Sphingomonas sp. LMO-1	Sphingomonas profundi
Sphingomonas indica	Allosphingosinicella indica
Heliobacterium modesticaldum	Heliomicrobium modesticaldum
Candidatus Caldiarchaeum	Candidatus Caldarchaeum
Candidatus Caldiarchaeum subterraneum	Candidatus Caldarchaeum subterraneum
Proteus cibarius	Proteus terrae subsp. cibarius
Pyropia yezoensis	Neopyropia yezoensis
Novosphingobium sp. ABRDHK2	Novosphingobium sp. EMRT-2
Sphingosinicella sp. UDD2	Sphingosinicella flava
Plectranthus scutellarioides	Coleus scutellarioides
Pyropia tenera	Neopyropia tenera
Izhakiella sp. KSNA2	Jejubacter calystegiae
Phialocephala scopiformis	Mollisia scopiformis
Phialemoniopsis	Thyridium
Phialemoniopsis curvata	Thyridium curvatum
Marssonina brunnea	Drepanopeziza brunnea
parasitid 'Pas'	Parasitoidea sp. parasitid 'Pas'
Scheffersomyces coipomoensis	Scheffersomyces coipomensis
Planctomycetes bacterium ETA_A1	Urbifossiella limnaea
Arcobacter cryaerophilus	Aliarcobacter cryaerophilus
Lactococcus sp. KACC 19320	Lactococcus protaetiae
Acetobacteraceae bacterium G55GP	Entomobacter blattae
Ochrobactrum quorumnocens	[Ochrobactrum] quorumnocens
Blautia sp. LZLJ-3	Blautia liquoris
Moraxellaceae bacterium HYN0046	Aquirhabdus parva
