Old_name	New_name
Ralstonia virus RP12	Ripduovirus RP12
Propionibacterium virus PHL114L00	Pahexavirus PHL114L00
Macaca mulatta polyomavirus 1	Betapolyomavirus macacae
Actinomyces virus Av1	Dybvigvirus Av1
Blueberry mosaic associated ophiovirus	Ophiovirus vaccinii
Escherichia virus T7	Teseptimavirus T7
Escherichia virus Rtp	Rtpvirus Rtp
Escherichia virus ECBP5	Gajwadongvirus ECBP5
Pseudomonas virus Alpheus	Uliginvirus alpheus
Escherichia virus IME08	Dhakavirus ime08
Escherichia virus Lambda	Lambdavirus lambda
Shigella virus Sf6	Lederbergvirus Sf6
Cronobacter virus PBES02	Certrevirus PBES02
Escherichia virus RB43	Pseudotevenvirus RB43
Caulobacter virus CcrSC	Bertelyvirus SC
Erwinia virus Eho59	Feofaniavirus Eho59
Salmonella virus SP6	Zindervirus SP6
Citrobacter virus CFP1	Teetrevirus CFP1
Yersinia virus YeO3-12	Teetrevirus YeO312
Salmonella virus SG-JL2	Teetrevirus SGJL2
Citrobacter virus SH2	Teetrevirus SH2
Serratia virus 2050H2	Teetrevirus 2050H2
Enterobacter virus E2	Teetrevirus E2
Escherichia virus LL2	Teetrevirus LL2
Enterobacter virus E3	Teetrevirus E3
Escherichia virus T3	Teetrevirus T3
Yersinia virus YeF10	Teetrevirus YeF10
Dipteran anphevirus	Alasvirus muscae
Bracovirus	Bracoviriform
Chelonus inanitus bracovirus	Bracoviriform inaniti
Raphanus sativus chrysovirus	Alphachrysovirus raphani
Spiroplasma virus SpV4	Spiromicrovirus SpV4
Hubei peropuvirus	Peropuvirus hubeiense
Bacillus virus Shbh1	Shalavirus Shbh1
Pseudomonas virus 15pyo	Phikmvvirus 15pyo
Serratia virus MAM1	Miltonvirus MAM1
Brassica campestris chrysovirus	Alphachrysovirus brassicae
Dickeya virus AD1	Alexandravirus AD1
Erwinia virus Alexandra	Alexandravirus alexandra
Erwinia virus Ea214	Kolesnikvirus Ea214
Erwinia virus Asesino	Erskinevirus asesino
Staphylococcus virus Sextaec	Sextaecvirus sextaec
Propionibacterium virus P1.1	Pahexavirus P11
Bordetella virus PHB04	Phabquatrovirus PHB04
Burkholderia virus DC1	Lessievirus DC1
Curvibacter virus P26059B	Kalppathivirus P26059B
Cellulophaga virus Cba41	Lightbulbvirus Cba41
Cellulophaga virus Cba172	Lightbulbvirus Cba172
Ralstonia virus Ap1	Ayakvirus Ap1
Pseudomonas virus PMW	Plaisancevirus PMW
Leptomonas shilevirus	Shilevirus leptomonadis
Pseudomonas virus PaMx74	Pamexvirus PaMx74
Pseudomonas virus LKA1	Stubburvirus LKA1
Burkholderia virus Bcep22	Lessievirus bcep22
Xylella virus Prado	Pradovirus prado
Erwinia virus Frozen	Johnsonvirus frozen
Ralstonia virus RSF1	Chiangmaivirus RSF1
Propionibacterium virus Lauchelly	Pahexavirus lauchelly
Propionibacterium virus P100D	Pahexavirus P100D
