tax_name	species	genus	family	order	class	phylum	kingdom	superkingdom
Natronomonas			Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota		Archaea
Natronomonas halophila		Natronomonas	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota		Archaea
Halobellus			Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota		Archaea
Thermococcus			Thermococcaceae	Thermococcales	Thermococci	Euryarchaeota		Archaea
Thermococcus onnurineus		Thermococcus	Thermococcaceae	Thermococcales	Thermococci	Euryarchaeota		Archaea
Candidatus Nitrosocosmicus oleophilus		Candidatus Nitrosocosmicus	Nitrososphaeraceae	Nitrososphaerales	Nitrososphaeria	Thaumarchaeota		Archaea
Sulfurihydrogenibium			Hydrogenothermaceae	Aquificales	Aquificae	Aquificae		Bacteria
Sulfurihydrogenibium azorense		Sulfurihydrogenibium	Hydrogenothermaceae	Aquificales	Aquificae	Aquificae		Bacteria
Bacteroides			Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Bacteroides caccae		Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Bacteroides caecimuris		Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Bacteroides cellulosilyticus		Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Bacteroides fragilis		Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Bacteroides intestinalis		Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Bacteroides ovatus		Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Bacteroides thetaiotaomicron		Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Bacteroides uniformis		Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Bacteroides xylanisolvens		Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Phocaeicola			Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Phocaeicola dorei		Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Phocaeicola vulgatus		Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Duncaniella			Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Duncaniella dubosii		Duncaniella	Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Muribaculum gordoncarteri		Muribaculum	Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Muribaculum intestinale		Muribaculum	Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Odoribacter splanchnicus		Odoribacter	Odoribacteraceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Porphyromonas			Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Porphyromonas asaccharolytica		Porphyromonas	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Porphyromonas gingivalis		Porphyromonas	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Alloprevotella			Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Paraprevotella			Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Prevotella			Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Prevotella copri		Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Prevotella denticola		Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Prevotella intermedia		Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Prevotella melaninogenica		Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Prevotella nigrescens		Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Prevotella oris		Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Prevotella timonensis		Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Alistipes			Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Alistipes communis		Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Alistipes onderdonkii		Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Alistipes shahii		Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Parabacteroides			Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Parabacteroides distasonis		Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Tannerella			Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Tannerella serpentiformis		Tannerella	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria
Arachidicoccus			Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidota		Bacteria
Filimonas			Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidota		Bacteria
Lacibacter			Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidota		Bacteria
Algoriphagus			Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria
Spirosoma			Cytophagaceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria
Spirosoma pollinicola		Spirosoma	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria
Spirosoma sp. CJU-R4		Spirosoma	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria
Hymenobacter			Hymenobacteraceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria
Hymenobacter sedentarius		Hymenobacter	Hymenobacteraceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria
Hymenobacter sp. APR13		Hymenobacter	Hymenobacteraceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria
Hymenobacter sp. PAMC 26554		Hymenobacter	Hymenobacteraceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria
Dyadobacter			Spirosomaceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria
Fibrella			Spirosomaceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria
Fibrella aestuarina		Fibrella	Spirosomaceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria
Arenibacter algicola		Arenibacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria
Capnocytophaga			Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria
Capnocytophaga cynodegmi		Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria
Capnocytophaga gingivalis		Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria
Capnocytophaga leadbetteri		Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria
Capnocytophaga ochracea		Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria
Capnocytophaga sputigena		Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria
Flavobacterium			Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria
Flavobacterium branchiophilum		Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria
Flavobacterium columnare		Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria
Flavobacterium johnsoniae		Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria
Flavobacterium nackdongense		Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria
Flavobacterium sangjuense		Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria
Flavobacterium sp. M31R6		Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria
