Sample ID	Species	Sociality	Sex	Tissue	Abstract	Publication	Collection Date	Location	RNA/DNA	Project Accession
SRR072891	Apis mellifera	Eusocial	Female	abdomen	We studied the molecular mechanisms underlying the impact of pollen nutrients on honey bee (Apis mellifera) health and how those nutrients improve resistance to parasites. Using digital gene expression, we determined the changes in gene expression induced by pollen intake in worker bees parasitized or not by the mites Varroa destructor, known for suppressing immunity and decreasing lifespan of bees. Overall design: bees with or without verroa, and fed or not fed pollen	https://pubmed.ncbi.nlm.nih.gov/21985689/	Nov-11	France	RNA	PRJNA134353
SRR072892	Apis mellifera	Eusocial	Female	abdomen	We studied the molecular mechanisms underlying the impact of pollen nutrients on honey bee (Apis mellifera) health and how those nutrients improve resistance to parasites. Using digital gene expression, we determined the changes in gene expression induced by pollen intake in worker bees parasitized or not by the mites Varroa destructor, known for suppressing immunity and decreasing lifespan of bees. Overall design: bees with or without verroa, and fed or not fed pollen	https://pubmed.ncbi.nlm.nih.gov/21985689/	Nov-11	France	RNA	PRJNA134353
SRR10034516	Apis cerana	Eusocial	Female	midgut	Discovery, profiling and characterization of mRNAs, long non-coding RNAs and circular RNAs engaged in eastern honey response to Nosema ceranae invasion	https://www.mdpi.com/2075-4450/13/3/241/htm	Aug-20	China	RNA	PRJNA562784
SRR10034517	Apis cerana	Eusocial	Female	midgut	Discovery, profiling and characterization of mRNAs, long non-coding RNAs and circular RNAs engaged in eastern honey response to Nosema ceranae invasion	https://www.mdpi.com/2075-4450/13/3/241/htm	Aug-20	China	RNA	PRJNA562784
SRR10034518	Apis cerana	Eusocial	Female	midgut	Discovery, profiling and characterization of mRNAs, long non-coding RNAs and circular RNAs engaged in eastern honey response to Nosema ceranae invasion	https://www.mdpi.com/2075-4450/13/3/241/htm	Aug-20	China	RNA	PRJNA562784
SRR10034523	Apis cerana	Eusocial	Female	midgut	Discovery, profiling and characterization of mRNAs, long non-coding RNAs and circular RNAs engaged in eastern honey response to Nosema ceranae invasion	https://www.mdpi.com/2075-4450/13/3/241/htm	Aug-20	China	RNA	PRJNA562784
SRR12053406	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Oct-16	Mexico	RNA	PRJNA636137
SRR12053407	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Nov-16	Mexico	RNA	PRJNA636137
SRR12053408	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Nov-16	Mexico	RNA	PRJNA636137
SRR12053409	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Jan-17	Mexico	RNA	PRJNA636137
SRR12053410	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Jan-17	Mexico	RNA	PRJNA636137
SRR12053411	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Feb-17	Mexico	RNA	PRJNA636137
SRR12053412	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Mar-16	Mexico	RNA	PRJNA636137
SRR12053413	Euglossa dilemma	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Mar-16	Mexico	RNA	PRJNA636137
SRR12053414	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Feb-17	Mexico	RNA	PRJNA636137
SRR12053415	Euglossa dilemma	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Mar-16	Mexico	RNA	PRJNA636137
