AM_N_056	AM_N_068	AM_N_072	BT_N_001	BT_N_025	BT_N_029	CA_N_007	CA_N_012	CA_N_030	ERR10123638	SRR10034516	SRR10034517	SRR10034518	SRR10034523	SRR10765021	SRR11426431	SRR11426432	SRR11426433	SRR11440494	SRR11440495	SRR11440496	SRR11445089	SRR11445090	SRR11445091	SRR11448239	SRR11448240	SRR11448241	SRR12053406	SRR12053407	SRR12053408	SRR12053409	SRR12053410	SRR12053411	SRR12053412	SRR12053413	SRR12053414	SRR12053415	SRR12053416	SRR12053417	SRR12053418	SRR12053419	SRR12053420	SRR12053421	SRR12053422	SRR12053423	SRR12053424	SRR12053425	SRR12053426	SRR12053427	SRR12053428	SRR12053429	SRR12053430	SRR12053431	SRR12053432	SRR12053433	SRR12053434	SRR12053435	SRR12053436	SRR12053437	SRR12097444	SRR12097445	SRR12097447	SRR12233573	SRR12233820	SRR12235348	SRR12244814	SRR12245258	SRR12245523	SRR12527928	SRR12527929	SRR12527930	SRR12527932	SRR12527933	SRR12527934	SRR12527935	SRR12527936	SRR12527940	SRR12527941	SRR12527942	SRR12527944	SRR12527946	SRR12527947	SRR12527948	SRR12527949	SRR12527950	SRR12527951	SRR12527952	SRR12527953	SRR12527954	SRR12527955	SRR12527956	SRR12527957	SRR12527958	SRR12527961	SRR12527962	SRR12527963	SRR12527964	SRR12527965	SRR12527966	SRR12527967	SRR12527969	SRR12527970	SRR12527971	SRR12527972	SRR12527973	SRR12527974	SRR12527975	SRR12527976	SRR12527977	SRR13189057	SRR13189058	SRR13189059	SRR13189063	SRR13189066	SRR13189067	SRR13404631	SRR13404632	SRR13404633	SRR13404634	SRR13404635	SRR13404636	SRR13404640	SRR13404641	SRR13442813	SRR13442814	SRR13442815	SRR13442817	SRR13442818	SRR13442819	SRR13442822	SRR13442824	SRR13442825	SRR13442827	SRR13442828	SRR13442829	SRR13442830	SRR13442831	SRR13769013	SRR13769014	SRR13769015	SRR13769016	SRR13769017	SRR13769018	SRR13769019	SRR1380984	SRR14567209	SRR14567210	SRR14567211	SRR14567212	SRR14567213	SRR14567214	SRR14567217	SRR14567218	SRR14567219	SRR14567220	SRR14567221	SRR14567222	SRR1503066	SRR1503088	SRR1503113	SRR1503122	SRR1503129	SRR1503133	SRR1503136	SRR15496106	SRR15496107	SRR15496108	SRR15496109	SRR15496114	SRR15496115	SRR17475010	SRR17475011	SRR17475012	SRR17475013	SRR17475014	SRR1790685	SRR1790686	SRR1790687	SRR18500042	SRR18500043	SRR18500044	SRR18500045	SRR18500050	SRR18500061	SRR18500072	SRR18500076	SRR18500077	SRR18500078	SRR18500079	SRR18500080	SRR18500081	SRR18500082	SRR18500083	SRR18500084	SRR18500085	SRR18500086	SRR18500087	SRR18500088	SRR18500090	SRR18500091	SRR1943074	SRR1943075	SRR1943076	SRR1945063	SRR1945064	SRR1945065	SRR1945093	SRR1945094	SRR1945095	SRR2001612	SRR2001621	SRR2001766	SRR2396633	SRR2396640	SRR2396641	SRR2396644	SRR2396653	SRR2396654	SRR2396655	SRR2396656	SRR2396657	SRR2895245	SRR2895246	SRR2895247	SRR2895248	SRR2895249	SRR2895250	SRR2895251	SRR2915407	SRR2954866	SRR3383868	SRR3383869	SRR3383870	SRR3383871	SRR3948521	SRR3948528	SRR3948531	SRR3948533	SRR3948536	SRR3948537	SRR3948540	SRR3948542	SRR3948544	SRR3948548	SRR3948550	SRR3948554	SRR3948556	SRR3948560	SRR3948562	SRR3948563	SRR3948564	SRR3948566	SRR3948568	SRR3948570	SRR3948572	SRR3948575	SRR3948577	SRR5109820	SRR5109826	SRR5109829	SRR5109831	SRR5109832	SRR5109833	SRR5117442	SRR5117443	SRR5117444	SRR5117445	SRR5117446	SRR5117447	SRR5117448	SRR5117449	SRR5117450	SRR5253659	SRR5387735	SRR5387737	SRR5387738	SRR6148364	SRR6148365	SRR6148366	SRR6148367	SRR6148368	SRR6148369	SRR6148370	SRR6148371	SRR6148372	SRR6148373	SRR6148374	SRR6148375	SRR6148376	SRR6148377	SRR6148378	SRR6148379	SRR6370988	SRR8335251	SRR8335252	SRR8335253	SRR8335254	SRR8335255	SRR8335256	SRR8335257	SRR8335258	SRR8754036	SRR8754037	SRR8754038	SRR8754039	SRR8754040	SRR8754041	SRR8754042	SRR8754043	SRR8754044	SRR8867392	SRR8867393	SRR8867394	SRR8867395	SRR12527931	SRR12527959	SRR2396634
GRH6	0	3.58442892851237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.6217186619115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.8411807831957	64.0289522218742	199.673105562604	43.0905197093037	0	3.51269621468663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.0609946832976	42.5798213186635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.58350116471602	136.722544112091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8708837981667	0	0	0	0	0	0	0	0	0	0	2.6382316109394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.5432761483464	0	0	0	0	0	0	0	0	10.3017350752932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRH13	0	0	0	1.30332216820676	0	3.05495159647406	0	0	0	0	0	0	0	0	0	4.63432202340993	0	0	5.76118886091981	1.19543194839181	0	0	0	1.25123692104592	0	0	1.040766436002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86669210944207	0	0	0	0	0	0	0	0	0	0	0	0	0	7.08021119334413	0	1.76242385131532	10.733619534909	0	18.1048451583118	0	0	0	0	0	0	0	0	0	0	0	0	9.09222547372178	3.29350346007926	12.6464275210271	1.12164872310601	0	0	0	0	0	0	0	2.97606425917948	0	0	0	0	0	0	0	0	0	11.5916951177013	3.37574555672132	3.65657753534541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.0976312043366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4492372334325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.56257541709669	1.6680670332333	0	0	0	0	0	0	0	0	20.277217714919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.10542418231076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0391240599824	0	13.9595396702198	0	0	0	0	0	0	0	0	0	0	0	6.25915976163545	0	0	2.96331667870483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRH27	0	0	0	0	2.32029059319389	0	0	0	0	0	0	0	0	0	15.0438787632615	0	0	0	0	0	0	1.82033290216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325.087446485361	80.190285234847	40.6344168107271	6.83246788740093	3.01747419305196	0	0	29.2195790206141	0	135.227934963643	47.3678850476166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.06815261555128	1.53046811443602	0	317.095437114103	51.7586420054832	535.164348916056	0	0	0	0	0	0	0	0	0	1.33263503257626	0	0	0	0	0	0	0	0	0	1.0824578261102	1.83428979456316	0	8.50244422100449	0	0	1.15891571914198	11.5389967690606	0	5.57403352555307	2.1689078896739	1.27351260505427	4.19760578616285	0	0	86.237168468394	15.2612142018231	167.194587916998	0	0	8.65443522737063	22.3569610788001	0	0	0	13.8903483881852	0	36.7009748813525	0	0	5.42575784570066	4.87601215346029	17.883168527992	7.53465523404166	50.7591477716427	90.735826096729	15.1314383507012	9.3103305608112	1.52637558489287	15.0876168957416	1.83600643630416	0	9.53747321277841	6.31944424089339	9.18161406592198	1.64775812444734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9985758391693	0	0	0	0	0	17.8619501554011	0	1.03184652095107	0	100.99248844915	0	9.22258241530211	0	0	0	0	0	3.15985717445571	0	0	0	0	0	0	0	0	40.929183417314	126.375142752804	0	0	0	0	14.4650185224562	0	0	0	0	0	0	0	1.31845692021121	0	1.48254891670151	0	0	0	0	0	0	2.4815348988179	0	0	1.35556249259282	0	1.06446450250389	0	0	0	0	0	0	0	0	0	0	4.31680654331088	0	0	0	0	0	0	0	0	1.0391240599824	0	4.18786190106595	0	4.09682266821144	0	0	0	3.32682938189174	0	0	3.60653710611463	3.02837064141755	0	0	0	195.046184092218	1.36768462094069	8.81616891099618	16.0568904329478	6.51182539567894	0	11.8088784178916	4.29048206761069	2.08554053826549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRH33	0	0	0	0	1.74021794489542	0	0	0	0	0	0	0	0	0	8.22712119865865	0	0	1.99830996654553	0	3.28743785807747	1.05651651145978	0	2.55346107312898	1.40764153617666	0	0	2.52757563029058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.62327753044663	0	0	0	0	0	0	0	0	0	0	3.21971273722958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.81216868034615	0	0	21630.6065213613	0	4095.77388501569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69584388593055	21.809176772974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.67234694432137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.9748496111323	27.6677472459063	31.7653038174836	34.9333791348749	17.7895909963741	17.644152727786	0	3.15985717445571	22.9286086503387	0	0	0	2.48433934584861	0	0	0	11.3692176159205	1.39384348624416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17254738263973	1.64111297468607	0	2.05966944776967	0	0	2.4815348988179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21476093870428	0	0	0	0	1.03043917317561	0	0	0	0	2680.3397710067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRH42	0	0	0	0	0	3.49137325311321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRH58	0	0	0	0	0	0	28.0125167652498	15.2848606730361	28.2560805303386	8.08979376909375	0	0	0	0	2.82072726811154	0	2.55115208084627	1.33220664436369	0	1.49428993548976	2.64129127864945	34.5863251410401	169.166796094795	246.493673446046	330.231234446739	342.338187477487	232.98300074502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00184039595185	0	3.81304788592432	0	0	0	0	0	0	0	0	0	2.62327753044663	13.0876631149695	0	2.64363577697298	1.02224947951515	0	0	0	0	1.35905018700531	0	9.42915873045807	28.4207310285699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.26361357262425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03671068940388	5.94305882358661	0	0	0	0	0	0	0	4.84526824551587	0	0	0	0	0	0	0	5.8721559810164	0	4.4212314194852	7.23434379426754	19.5040486138412	34.0357078435977	9.36123832108206	31.8061612646345	56.1917298670098	13.7238626901709	9.95988850691431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17175384664418	0	0	0	2.67542511669034	38.0605771670538	40.8360256899218	2.81789964837471	3.53020592927654	9.68187003006264	1.93185711166604	54.4042153760684	25.2459458426961	5.52210062200121	19.597907361671	15.2390537860026	21.6088055781598	16.3556311295227	1.11933031213645	0	22.9104880890137	42.937613781159	38.4235079670254	4.00338913327607	108.253545096308	1.62153639982713	2.75004406583768	0	2.90805515575949	2.89680961296334	3.08011929302022	0	0	0	2.71320761854195	0	0	3.95120822302877	2.68662000711161	14.132078404771	4.61129120765105	7.05895640388525	0	0	0	3.98346860528805	0	0	11.8987055954085	8.58124016082804	4.94697665521716	8.07410287400797	3.32083592081799	6.1295542588143	8.17857243761608	0	9.29228990829439	0	0	0	0	2.53137824142984	8.54553418332913	1.39632334101078	0	0	0	5.23632403071279	0	15.29410027445	6.21118526806233	0	0	6.79889660941371	0	1.64773555821573	0	1.32481414750102	3.22599536846326	3.15704842631659	0	5.61590175502739	1.67861842988747	5.5884386381454	0	0	0	1.23878209583867	0	0	0	0	0	0	2.55084023013825	0	0	0	0	0	0	0	0	0	0	5.58381586808793	0	0	0	2.21476093870428	0	0	0	0	0	0	0	0	1.07228831688264	485.383417630898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRH66	0	0	0	0	0	0	0	1.63766364353958	0	0	2.09739210265955	0	1.49040719022632	0	0	0	0	4.32967159418199	0	0	0	6.97794279161335	0	4.69213845392219	8.90856353391202	12.9548267402914	8.62349332687374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.36680976745452	0	10355.9714305543	0	2786.1029774526	0	0	1.60985636861479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395.711033588068	8393.58125342565	0	1583.20552016772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34886239240656	2.73799214365077	0	0	8.53302126855551	0	0	4.35700839241569	0	0	2.38171246904473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.5500429000486	1.03452644161748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03181595104915	0	0	1.19769879681021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.756570376145	0	0	0	16.6753517457009	0	0	0	0	0	0	0	0	0	0	0	0	0	2.16975277836843	0	4.7125912759114	0	0	0	0	0	3.16429660850689	0	0	2.93136845659933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46584173996711	0	0	0	0	0	16.7092960002277	0	0	0	5.15219586587804	0	2.14474183661122	0	28.9517845558314	0	0	0	3.72333691198789	0	0	29.687741069279	0	0	208.493455784609	0	128.162305801075	0	0	0	0	0	0	0	0	0	0	0	0	0
GRH74	0	0	0	0	0	0	0	0	1.01823713622842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72351461188356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRH85	0	0	0	0	0	0	0	0	0	48.5387626145625	44.5160772809375	3.65154090798217	0	0	0	0	0	0	0	0	1.84890389505461	9.10166451080002	1.43632185363505	14.5456292071588	0	5.09924031266788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.20047416287386	27.4626373560015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3455018540702	0	0	0	0	0	5.57403352555307	0	0	16.5105827589072	1.35130231650217	0	0	0	0	0	0	0	1.47085270255264	0	0	0	0	0	0	0	0	0	0	0	0	2.8320554550702	0	1.05568174539776	0	0	8.50006585675584	0	0	0	0	0	9.41576071112765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.6697953774844	0	0	0	12.2176388749229	0	0	4.76776251807143	0	0	0	1.81753447234968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.397052684899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13678390192738	0	0	0	12.4694887197888	0	0	0	0	0	0	0	0	0	0	2.06087834635122	0	0	0	0	1.54526026129398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRH86	0	0	0	0	0	0	0	0	0	5.88348637752273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.39168777186111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0541107935101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0137654810524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
