MicroHit	TaxHit	Class	PhyloHit	GenHitID
Pseudomonas	Pseudomonas	bacteria	Pseudomonas	GRH1
Pseudomonas nitroreducens	Pseudomonas nitroreducens	bacteria	Pseudomonas	GRH1
Pseudomonas fluorescens	Pseudomonas fluorescens	bacteria	Pseudomonas	GRH1
Acinetobacter	Acinetobacter	bacteria	Acinetobacter	GRH2
Acinetobacter johnsonii	Acinetobacter johnsonii	bacteria	Acinetobacter	GRH2
Ralstonia	Ralstonia	bacteria	Ralstonia	GRH3
Cutibacterium	Cutibacterium	bacteria	Cutibacterium	GRH4
Cutibacterium acnes	Cutibacterium acnes	bacteria	Cutibacterium	GRH4
Escherichia	Escherichia	bacteria	Escherichia	GRH5
Escherichia coli	Escherichia coli	bacteria	Escherichia	GRH5
Meyerozyma	Meyerozyma	fungus	Meyerozyma	GRH6
Meyerozyma guilliermondii	Meyerozyma guilliermondii	fungus	Meyerozyma	GRH6
Gilliamella	Gilliamella	bacteria	Gilliamella	GRH7
Gilliamella apicola	Gilliamella apicola	bacteria	Gilliamella	GRH7
Snodgrassella	Snodgrassella	bacteria	Snodgrassella	GRH8
Snodgrassella alvi	Snodgrassella alvi	bacteria	Snodgrassella	GRH8
Methylobacterium	Methylobacterium	bacteria	Methylobacterium	GRH9
Acinetobacter baumannii	Acinetobacter baumannii	bacteria	Acinetobacter	GRH2
Acinetobacter lwoffii	Acinetobacter lwoffii	bacteria	Acinetobacter	GRH2
Bombiscardovia	Bombiscardovia	bacteria	Bombiscardovia	GRH10
Bombiscardovia coagulans	Bombiscardovia coagulans	bacteria	Bombiscardovia	GRH10
uncultured bacterium	uncultured bacterium	bacteria	Unspecified Bacterial	GRH11
non-genus-specific reads in family Pasteurellaceae	Pasteurellaceae	bacteria	non-genus-specific Pasteurellaceae	GRH12
Plasmodium	Plasmodium	other_eukaryota	Plasmodium	GRH13
Pseudomonas sp. SXM-1	Pseudomonas sp. SXM-1	bacteria	Pseudomonas	GRH1
Pseudomonas sp. NC02	Pseudomonas sp. NC02	bacteria	Pseudomonas	GRH1
Pseudomonas putida	Pseudomonas putida	bacteria	Pseudomonas	GRH1
Bacillus	Bacillus	bacteria	Bacillus	GRH14
Corynebacterium	Corynebacterium	bacteria	Corynebacterium	GRH15
Sphingomonas	Sphingomonas	bacteria	Sphingomonas	GRH16
Methylobacterium radiotolerans	Methylobacterium radiotolerans	bacteria	Methylobacterium	GRH9
Ralstonia insidiosa	Ralstonia insidiosa	bacteria	Ralstonia	GRH3
Ralstonia pickettii	Ralstonia pickettii	bacteria	Ralstonia	GRH3
Enterobacter	Enterobacter	bacteria	Enterobacter	GRH17
Pantoea agglomerans	Pantoea agglomerans	bacteria	Pantoea	GRH18
Agrobacterium	Agrobacterium	bacteria	Agrobacterium	GRH19
