MicroHit	TaxHit	HitID	Class
Pseudomonas	Pseudomonas	MRH1	bacteria
Pseudomonas nitroreducens	Pseudomonas nitroreducens	MRH2	bacteria
Pseudomonas fluorescens	Pseudomonas fluorescens	MRH3	bacteria
Acinetobacter	Acinetobacter	MRH4	bacteria
Acinetobacter johnsonii	Acinetobacter johnsonii	MRH5	bacteria
Ralstonia	Ralstonia	MRH6	bacteria
Cutibacterium	Cutibacterium	MRH7	bacteria
Cutibacterium acnes	Cutibacterium acnes	MRH8	bacteria
Escherichia	Escherichia	MRH9	bacteria
Escherichia coli	Escherichia coli	MRH10	bacteria
Meyerozyma	Meyerozyma	MRH11	fungus
Meyerozyma guilliermondii	Meyerozyma guilliermondii	MRH12	fungus
Gilliamella	Gilliamella	MRH13	bacteria
Gilliamella apicola	Gilliamella apicola	MRH14	bacteria
Snodgrassella	Snodgrassella	MRH15	bacteria
Snodgrassella alvi	Snodgrassella alvi	MRH16	bacteria
Methylobacterium	Methylobacterium	MRH17	bacteria
Acinetobacter baumannii	Acinetobacter baumannii	MRH18	bacteria
Acinetobacter lwoffii	Acinetobacter lwoffii	MRH19	bacteria
Bombiscardovia	Bombiscardovia	MRH20	bacteria
Bombiscardovia coagulans	Bombiscardovia coagulans	MRH21	bacteria
uncultured bacterium	uncultured bacterium	MRH22	bacteria
non-genus-specific reads in family Pasteurellaceae	Pasteurellaceae	MRH23	bacteria
Plasmodium	Plasmodium	MRH24	other_eukaryota
Pseudomonas sp. SXM-1	Pseudomonas sp. SXM-1	MRH25	bacteria
Pseudomonas sp. NC02	Pseudomonas sp. NC02	MRH26	bacteria
Pseudomonas putida	Pseudomonas putida	MRH27	bacteria
Bacillus	Bacillus	MRH28	bacteria
Corynebacterium	Corynebacterium	MRH29	bacteria
Sphingomonas	Sphingomonas	MRH30	bacteria
Methylobacterium radiotolerans	Methylobacterium radiotolerans	MRH31	bacteria
Ralstonia insidiosa	Ralstonia insidiosa	MRH32	bacteria
Ralstonia pickettii	Ralstonia pickettii	MRH33	bacteria
Enterobacter	Enterobacter	MRH34	bacteria
Pantoea agglomerans	Pantoea agglomerans	MRH35	bacteria
Agrobacterium	Agrobacterium	MRH36	bacteria
Agrobacterium tumefaciens	Agrobacterium tumefaciens	MRH37	bacteria
Stenotrophomonas	Stenotrophomonas	MRH38	bacteria
Stenotrophomonas maltophilia	Stenotrophomonas maltophilia	MRH39	bacteria
Moraxella	Moraxella	MRH40	bacteria
Moraxella osloensis	Moraxella osloensis	MRH41	bacteria
Brevundimonas	Brevundimonas	MRH42	bacteria
Lactobacillus apis	Lactobacillus apis	MRH43	bacteria
Acinetobacter guillouiae	Acinetobacter guillouiae	MRH44	bacteria
Acinetobacter junii	Acinetobacter junii	MRH45	bacteria
Acinetobacter pittii	Acinetobacter pittii	MRH46	bacteria
Pseudomonas yamanorum	Pseudomonas yamanorum	MRH47	bacteria
Pseudomonas protegens	Pseudomonas protegens	MRH48	bacteria
Pseudomonas syringae	Pseudomonas syringae	MRH49	bacteria
Pseudomonas aeruginosa	Pseudomonas aeruginosa	MRH50	bacteria
Delftia	Delftia	MRH51	bacteria
Delftia acidovorans	Delftia acidovorans	MRH52	bacteria
Delftia tsuruhatensis	Delftia tsuruhatensis	MRH53	bacteria
Rheinheimera	Rheinheimera	MRH54	bacteria
Staphylococcus	Staphylococcus	MRH55	bacteria
Alternaria	Alternaria	MRH56	fungus
Caulobacter	Caulobacter	MRH57	bacteria
Corynebacterium sp. 1959	Corynebacterium kalinowskii	MRH58	bacteria
Brevundimonas sp. GW460-12-10-14-LB2	Brevundimonas sp. GW460-12-10-14-LB2	MRH59	bacteria
Brevundimonas diminuta	Brevundimonas diminuta	MRH60	bacteria
Massilia	Massilia	MRH61	bacteria
Rhizobium	Rhizobium	MRH62	bacteria
Bradyrhizobium	Bradyrhizobium	MRH63	bacteria
Methylobacterium brachiatum	Methylobacterium brachiatum	MRH64	bacteria
Methylobacterium sp. C1	Methylobacterium sp. C1	MRH65	bacteria
Sphingomonas melonis	Sphingomonas melonis	MRH66	bacteria
Achromobacter	Achromobacter	MRH67	bacteria
Fusarium	Fusarium	MRH68	fungus
Capnocytophaga	Capnocytophaga	MRH69	bacteria
Enterobacter asburiae	Enterobacter asburiae	MRH70	bacteria
Enterobacter hormaechei	Enterobacter hormaechei	MRH71	bacteria
Enterobacter cloacae	Enterobacter cloacae	MRH72	bacteria
Salmonella	Salmonella	MRH73	bacteria
Salmonella enterica	Salmonella enterica	MRH74	bacteria
Herbaspirillum	Herbaspirillum	MRH75	bacteria
Herbaspirillum huttiense	Herbaspirillum huttiense	MRH76	bacteria
Cupriavidus metallidurans	Cupriavidus metallidurans	MRH77	bacteria
Actinomyces	Actinomyces	MRH78	bacteria
Actinomyces naeslundii	Actinomyces naeslundii	MRH79	bacteria
Klebsiella	Klebsiella	MRH80	bacteria
Klebsiella pneumoniae	Klebsiella pneumoniae	MRH81	bacteria
Aquabacterium	Aquabacterium	MRH82	bacteria
Micrococcus	Micrococcus	MRH83	bacteria
Micrococcus luteus	Micrococcus luteus	MRH84	bacteria
Acinetobacter sp. NEB 394	Acinetobacter sp. NEB 394	MRH85	bacteria
