Sample.ID	Species	Sociality	Sex	Tissue	Location	NucleotideType	Project.Accession	YearCollected	Genus	Family	SubFamily	Tribe
SRR072891	Apis mellifera	Eusocial	Female	abdomen	France	RNA	PRJNA134353	2011	Apis	Apidae	Apinae	Apini
SRR072892	Apis mellifera	Eusocial	Female	abdomen	France	RNA	PRJNA134353	2011	Apis	Apidae	Apinae	Apini
SRR10034516	Apis cerana	Eusocial	Female	midgut	China	RNA	PRJNA562784	2020	Apis	Apidae	Apinae	Apini
SRR10034517	Apis cerana	Eusocial	Female	midgut	China	RNA	PRJNA562784	2020	Apis	Apidae	Apinae	Apini
SRR10034518	Apis cerana	Eusocial	Female	midgut	China	RNA	PRJNA562784	2020	Apis	Apidae	Apinae	Apini
SRR10034523	Apis cerana	Eusocial	Female	midgut	China	RNA	PRJNA562784	2020	Apis	Apidae	Apinae	Apini
SRR12053406	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	Euglossa	Apidae	Apinae	Euglossini
SRR12053407	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	Euglossa	Apidae	Apinae	Euglossini
SRR12053408	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	Euglossa	Apidae	Apinae	Euglossini
SRR12053409	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2017	Euglossa	Apidae	Apinae	Euglossini
SRR12053410	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2017	Euglossa	Apidae	Apinae	Euglossini
SRR12053411	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2017	Euglossa	Apidae	Apinae	Euglossini
SRR12053412	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	Euglossa	Apidae	Apinae	Euglossini
SRR12053413	Euglossa dilemma	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	Euglossa	Apidae	Apinae	Euglossini
SRR12053414	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2017	Euglossa	Apidae	Apinae	Euglossini
SRR12053415	Euglossa dilemma	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	Euglossa	Apidae	Apinae	Euglossini
SRR12053416	Euglossa dilemma	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	Euglossa	Apidae	Apinae	Euglossini
SRR12053417	Euglossa dilemma	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	Euglossa	Apidae	Apinae	Euglossini
SRR12053418	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	Euglossa	Apidae	Apinae	Euglossini
SRR12053419	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	Euglossa	Apidae	Apinae	Euglossini
SRR12053420	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	Euglossa	Apidae	Apinae	Euglossini
